Age,Female,Male,Salt
4,1291,1386,3
5,1362,1482,3
6,1482,1577,3
7,1530,1649,5
8,1625,1745,5
9,1721,1840,5
10,1936,2032,5
11,2032,2127,6
12,2103,2247,6
13,2223,2414,6
14,2342,2629,6
15,2390,2820,6
16,2414,2964,6
17,2462,3083,6
18,2462,3155,6
19-24,2175,2772,6
25-34,2175,2749,6
35-44,2103,2629,6
45-54,2103,2581,6
55-64,2079,2581,6
65-74,1912,2342,6
75+,1840,2294,6
